PARENTACCOUNTKEY,PRINCIPALDUE,INTERESTDUE,FEESDUE,date
8a10d4e94d9f18d3014da1a506fd4ada,0.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10d4e94d9f18d3014da1a506fd4ada,0.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10d4e94d9f18d3014da1a506fd4ada,0.0000000000,102.5100000000,7.5000000000,2015-08-03
8a10d4e94d9f18d3014da1a506fd4ada,0.0000000000,32.4900000000,7.5000000000,2015-09-03
8a10d4e94d9f18d3014da1a506fd4ada,2050.2700000000,102.5100000000,7.5000000000,2015-10-03
8a10d4e94d9f18d3014da1a78c6b4b43,0.0000000000,352.4100000000,7.5000000000,2015-06-03
8a10d4e94d9f18d3014da1a78c6b4b43,0.0000000000,352.4100000000,7.5000000000,2015-07-03
8a10d4e94d9f18d3014da1a78c6b4b43,0.0000000000,352.4100000000,7.5000000000,2015-08-03
8a10d4e94d9f18d3014da1a78c6b4b43,0.0000000000,352.4100000000,7.5000000000,2015-09-03
8a10d4e94d9f18d3014da1a78c6b4b43,7048.2000000000,352.4100000000,7.5000000000,2015-10-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-08-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-11-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2015-12-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-01-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-02-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-03-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-04-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-05-03
8a10d4e94d9f18d3014da1b140b24c38,25.0000000000,0.0000000000,0.0000000000,2016-06-03
8a10d4e94d9f18d3014da1b140b24c38,675.0000000000,0.0000000000,0.0000000000,2016-07-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-06-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-07-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-08-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-09-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-10-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-11-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2015-12-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-01-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-02-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-03-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-04-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-05-03
8a10d4e94d9f18d3014da1b3365d4c89,25.0000000000,0.0000000000,0.0000000000,2016-06-03
